Rubber,Speed,Spin,Control,Tacky,Weight,Sponge Hardness,Gears,Throw Angle,Consistency,Durable,Overall,Ratings,Estimated Price
Donic Bluestorm Z1 Turbo,9.4,9.7,8.5,1.2,6,8.8,9.4,4.4,10,7.8,9.6,6,$ 52.00 
Tibhar Aurus TC-1,8.9,9.6,9.4,2,4.4,3.2,10,5.2,10,9,9.5,5,$ 28.00 
Xiom Omega VII Tour,9.6,9.3,8.4,1.9,7.5,8.3,9.1,6,10,7.8,9.5,15,$ 74.00 
DHS Gold Arc 8,9.4,9.4,9.2,2.1,5.8,6.8,8.8,5.7,9.6,8.8,9.5,100,$ 46.00 
Adidas Tenzone Ultra,9.3,9.5,9,2.3,5.3,7.2,8.6,6.5,9.7,8.6,9.5,18,$ 50.00 
Andro Rasant Grip,9.1,9.5,9.2,2.3,5.6,5.5,8.8,4.8,9.4,8.4,9.5,120,$ 53.00 
Andro Hexer Powergrip,9.3,9.5,9.3,1.3,5.2,6.8,9.1,5.8,9.8,8.5,9.5,34,$ 44.00 
Gewo Flexxon,9.3,9.4,9.2,2.5,4.9,6.7,7.9,4.2,9.1,7.9,9.5,24,$ 58.00 
DHS Hurricane 3 National (Blue Sponge),9.3,9.5,9.2,8.3,6,8.1,9.6,5.7,9.5,8.2,9.5,46,$ 92.00 
Andro Rasant,9.2,9.4,9,2.1,5.2,5.5,8.9,5.6,9.5,8.4,9.5,144,$ 57.00 
Butterfly Dignics 80,9.4,9.3,9.2,2.3,6,6.3,8.3,6,10,7.8,9.5,9,$ 100.00 
Victas VJ > 07 Stiff,9.1,9.5,9.4,0.6,4,5,8.7,4.6,9.3,8.9,9.5,7,$ 42.00 
Tibhar Nianmor,9.3,9.2,8.1,2.7,5,7.2,9.1,5,8.5,8.2,9.5,45,$ 55.00 
Xiom Sigma II Euro,9.2,9.4,9.1,1.9,5.4,4.7,9.2,5.8,10,7.9,9.5,35,$ 45.00 
Xiom Vega X,9.1,9.2,9.1,1.8,6.3,7.3,8,6.3,9,8.5,9.5,7,$ 35.00 
Xiom Omega IV Asia,9.2,9,8.8,2.2,4.5,7.2,8.7,5.3,9.6,8,9.4,46,$ 49.00 
Victas V > 01 Limber,8.9,9.4,9.5,1.1,3.6,4,9,4.4,9.7,8.7,9.4,37,$ 42.00 
TSP Super Ventus,9.3,9.5,9.3,1.1,5.8,6.9,9.4,5.3,9.7,9.2,9.4,26,$ 40.00 
Yasaka Rakza 7,9,9.3,8.9,2.9,5,6.1,8.7,5.6,9.5,8,9.4,193,$ 38.00 
Victas VS > 402 Double Extra,8.9,9.5,9.5,1.2,6.5,6.7,9.2,5.6,10,8.3,9.4,15,$ 35.00 
JOOLA MAXXX-P,9.2,9.3,9.4,2.3,4.3,5,8.3,4.7,8.8,9,9.4,26,$ 46.00 
Gewo Proton Neo 450,9.1,9.4,9.5,0,4,4.8,8.5,6.2,8.8,9.4,9.4,12,$ 40.00 
Yasaka Rakza 9,9.4,9.3,8.9,2.3,4.6,6.3,8.7,4.2,9.3,8.6,9.4,70,$ 53.00 
Gewo NanoFlex FT48,9.4,9.4,9.1,0.9,4.8,6.7,9.1,5.4,9.2,8.3,9.4,24,$ 55.00 
Tibhar Evolution MX-S,9.2,9.5,9.1,2.4,6.7,7.7,8.9,5.4,9.1,7.5,9.4,84,$ 50.00 
Adidas P7,8.8,9.5,9.1,2.1,4.4,6.5,9.1,6.1,9.4,8.4,9.4,79,$ 50.00 
